title,author,year,empirical_data,subsidy_type,vector_type,vector,biotic_abiotic,recipient,subgroups,ecotone,climate_zone,mediterannean,continent,country,latlon,experimental,start,end,initials,,,,,,,,,,,,
Inter-annual variation in responses of water chemistry and epilithon to Pacific salmon spawners in an Alaskan stream,Chaloner et al.,2007,Yes,Salmon derived nutrients,Fish,Pacific salmon,Biotic,Stream epilithon,,Marine - Freshwater,Mid-latitude oceanic,No,North America,United States,"58.3, -134.7",Yes,2000,2005,FL,,,,,,,,,,,,
Multiple nutrient subsidy pathways from a spawning migration of iteroparous fish,Childress and McIntyre,2015,Yes,"Suckers (Catostomidae) (N, P)",Iteroparous fish,Suckers (Catostomidae),Biotic,Stream,,Freshwater - Freshwater,Humid continental,No,North America,United States,"45.7, -86.9 and 45.8, -86.10",Yes,2009,2009,FL,,,,,,,,,,,,
Nutrient Subsidies from Iteroparous Fish Migrations Can Enhance Stream Productivity,Childress et al.,2014,Yes,"Suckers (Catostomidae) (N, P)",Iteroparous fish,Suckers (Catostomidae),Biotic,Stream,,Freshwater - Freshwater,Humid continental,No,North America,United States,"45.7, -86.9 and 45.8, -86.10",Yes,2009,2009,FL,,,,,,,,,,,,
Nutrient Subsidies from Iteroparous Fish Migrations Can Enhance Stream Productivity,Childress et al.,2014,Yes,"Suckers (Catostomidae) (N, P)",Iteroparous fish,Suckers (Catostomidae),Biotic,Caddisflies insects,Yes,Freshwater - Freshwater,Humid continental,No,North America,United States,"45.7, -86.9 and 45.8, -86.8",Yes,2009,2009,FL,,,,,,,,,,,,
Nutrient Subsidies from Iteroparous Fish Migrations Can Enhance Stream Productivity,Childress et al.,2014,Yes,"Suckers (Catostomidae) (N, P)",Iteroparous fish,Suckers (Catostomidae),Biotic,Stream algae,,Freshwater - Freshwater,Humid continental,No,North America,United States,"45.7, -86.9 and 45.8, -86.9",Yes,2009,2009,FL,,,,,,,,,,,,
The fate of nitrogen in gypsy moth frass deposited to an oak forest floor,Christenson et al.,2002,Yes,Forest defoliation (N),Moss and Leaves,Gypsy moss frass and Oak leaf litter,Biotic,Forest floor soil/plants,Yes,Terrestrial - Terrestrial,Humid continental,No,North America,United States,"41.8, 73.7",Yes,1995,1997,FL,,,,,,,,,,,,
A seasonal feast: long-term analysis of feeding behaviour in the spotted hyaena (Crocuta crocuta),Cooper et al.,1999,Yes,Migratory wildebeest and zebra prey,Mammal,Wildebeest and zebra,Biotic,Hyena (Crocuta crocuta),No,Terrestrial - Terrestrial,Temperate savannah,No,Africa,Kenya,"-1.37, 34.9",Yes,1988,1995,FL,,,,,,,,,,,,
Metabolic stoichiometry and the ecology of fear in Trinidadian guppies: consequences for life histories and stream ecosystems,Dalton and Flecker,2014,Yes,N excretion by guppies (influenced by predator presence),Fish,Guppies (Poecilia reticulata),Biotic,Streams,No,Freshwater - Freshwater,Caught in Tropical and raised in tanks,No,South America,Trinidad and Tobago,"10.7, -61.2 (catching location)",Yes*****,2011,<2014,FL,,,,,,,,,,,,
Increasing donor ecosystem productivity decreases terrestrial consumer reliance on a stream resource subsidy,Davis et al.,2011,Yes,Emerging aquatic insect prey (N),Insect,Aquatic insects,Biotic,Ground & arboreal riparian spiders,No,Freshwater - Terrestrial,Forest,No,North America,United States,"35.1, -83.3",Yes,2000,2005,FL,,,,,,,,,,,,
Declines in benthic macroinvertebrate community metrics and microphytobenthic biomass in an estuarine lake following enrichment by hippo dung,Dawson et al.,2016,Yes,Hippopotamus dung,Mammal,Hippopotamus,Biotic,Creek (St. Lucia Estuary),No,Terrestrial - Freshwater,Tropical,No,Africa,South Africa,"-28.4, 32.4",Yes,2014,2014,FL,,,,,,,,,,,,
"Scavenging by vertebrates: behavioral, ecological, and evolutionary perspectives on an important energy transfer pathway in terrestrial ecosystems",DeVault et al.,2003,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Defaunation in the Anthropocene,Dirzo et al.,2014,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Global nutrient transport in a world of giants,Doughty et al.,2016,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
The legacy of the Pleistocene megafauna extinctions on nutrient availability in Amazonia,Doughty et al.,2013,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Quantifying aquatic insect deposition from lake to land,Dreyer et al.,2015,Yes,Emerging adult midges from aquatic stage (dry mass),Insect,Midges (Chironomus islandicus and Tanytarsus gracilentus),Biotic,Surrounding land,No,Freshwater - Terrestrial,Tundra,No,Europe,Iceland,"65.6, -17.0",Yes,2008,2011,FL,,,,,,,,,,,,
Exploring the “nutrient hot spot” hypothesis at trees used by bats,Duchamp et al.,2010,Yes,Tree-roosting bat guano (N),Mammal,Tree-roosting bats (Myotis septentrionalis and M. sodalis),Biotic,Soil/land under roosting trees,No,Terrestrial - Terrestrial,Humid continental,No,North America,United States,"40.3, -86.1",Yes,2002,2005,FL,,,,,,,,,,,,
